gene,custom,cosmic,clinvar-all-cancer,FM-combined,ucsf500v2,civic,broad-target,msk-impact,umich-mioncoseq
AAGAB,,,X,,,,,,
ABCA3,,,X,,,,,,
ABCA5,,,X,,,,,,
ABCB1,,,X,,,X,,,
ABCB11,,,X,,,,,,
ABCB4,,,X,,,,,,
ABCC10,,,,,,X,,,
ABCC11,,,X,,,,,,
ABCC3,,,,,,X,,,
ABCC4,,,X,,,,,,
ABCC9,,,X,,,,,,
ABCE1,,,X,,,,,,
ABCF3,,,X,,,,,,
ABCG2,,,,,,X,,,
ABCG4,,,X,,,,,,
ABI1,,X,,X,,,,,
ABL1,,X,X,X,X,X,X,X,X
ABL2,,X,,X,X,,,,X
ABRAXAS1,,,X,,,,,X,
ACAN,,,X,,,,,,
ACKR3,,X,,,,,,,
ACRV1,,,X,,,,,,
ACSL3,,X,,,,,,,
ACSL6,,X,,X,,,,,
ACTA1,,,,,,X,,,
ACTB,,,X,X,,,,,
ACVR1,,X,X,,X,,,,
ACVR1B,,,X,X,X,,,,
ACVR2A,,X,,,,,,,
ADA,,,X,,,,,,X
ADAMTS3,,,X,,,,,,
ADAT1,,,X,,,,,,
ADGRA2,,,,X,X,,,,
ADRM1,,,X,,,,,,
AEBP1,,,,,,X,,,
AFDN,,,,X,,,,,
AFF1,,X,,X,,,,,
AFF3,,X,,,,,,,
AFF4,,X,,X,,,,,
AGPAT2,,,X,,,,,,
AGR2,,,,,,X,,,
AHRR,,,X,,,,,,
AIFM1,,,X,,,,,,
AIP,,,X,,,,,,
AJUBA,,,,,X,,,,
AK2,,,X,,,,,,
AKAP1,,,X,,,,,,
AKAP9,,X,,,,,,,
AKR1C3,,,X,,,,,,
AKT1,,X,X,X,X,X,X,X,X
AKT2,,X,X,X,X,X,X,X,X
AKT3,,,X,X,X,X,X,X,X
ALCAM,,,,,,X,,,
ALDH1A2,,,,,,X,,,
ALDH2,,X,,,,,,,
ALDH5A1,,,X,,,,,,
ALDH9A1,,,X,,,,,,
ALK,,X,X,X,X,X,X,X,X
ALOX12B,,,,,,,,X,
ALOX5,,,X,,,,,,
